weapon_type,firearm_caliber,weapon_description,trr_report_id
Firearm - Revolver,32 CAL,,101166
Feet,,,101167
Firearm - Semi-Automatic,25 ACP,RAVEN ARMS,101169
Firearm - Semi-Automatic,25 ACP,,101170
Hands/Fists,,,101170
Other (Specify),,ELBOW,101170
Hands/Fists,,,101171
Other (Specify),,GRABBING AND TWISTING R/OS WRIST.,101171
"Mouth (Spit,Bite,Etc)",,,101172
Other (Specify),,FLAILING ARMS,101173
Hands/Fists,,,101174
"Mouth (Spit,Bite,Etc)",,,101178
Feet,,,101180
Hands/Fists,,,101180
"Mouth (Spit,Bite,Etc)",,,101180
Verbal Threat (Assault),,,101180
Feet,,,101181
Hands/Fists,,,101181
"Mouth (Spit,Bite,Etc)",,,101181
Verbal Threat (Assault),,,101181
Firearm - Semi-Automatic,40 S&W,,101182
"Mouth (Spit,Bite,Etc)",,,101185
Knife/Other Cutting Instrument,,BOX CUTTER,101187
Verbal Threat (Assault),,,101191
Verbal Threat (Assault),,,101195
Verbal Threat (Assault),,,101196
Hands/Fists,,,101197
Firearm - Semi-Automatic,OTHER,GLOCK 23,101199
Hands/Fists,,,101207
Hands/Fists,,,101208
Verbal Threat (Assault),,,101212
Other (Specify),,FLAILING ARMS,101213
Hands/Fists,,,101214
Other (Specify),,FLAILING ARMS,101215
Other (Specify),,FLAILING ARMS,101216
Hands/Fists,,,101217
Other (Specify),,FLAILING ARMS,101217
Hands/Fists,,,101218
Verbal Threat (Assault),,,101218
"Mouth (Spit,Bite,Etc)",,,101219
Verbal Threat (Assault),,,101219
"Mouth (Spit,Bite,Etc)",,,101220
Verbal Threat (Assault),,,101220
Hands/Fists,,,101225
Verbal Threat (Assault),,,101225
Verbal Threat (Assault),,,101226
Feet,,,101228
Hands/Fists,,,101229
Hands/Fists,,,101236
Hands/Fists,,,101238
Other (Specify),,BODY,101238
Hands/Fists,,,101248
Other (Specify),,GRABBED NECK,101248
Firearm - Semi-Automatic,45 CAL,,101250
Knife/Other Cutting Instrument,,,101251
Knife/Other Cutting Instrument,,,101252
Knife/Other Cutting Instrument,OTHER,,101253
Vehicle - Attempted To Strike Officer With Vehicle,,,101262
Other (Specify),,CAR V CAR RAMMING,101263
Other (Specify),,PELLET GUN,101269
Hands/Fists,,,101270
Other (Specify),OTHER,BB GUN,101270
Other (Specify),,REPLICA HANDGUN,101271
Other (Specify),OTHER,REPLICA HANDGUN,101272
Hands/Fists,,,101273
Other (Specify),,REPLICA HANDGUN,101273
Hands/Fists,,,101275
Verbal Threat (Assault),,,101275
Verbal Threat (Assault),,,101276
Feet,,,101283
Firearm - Semi-Automatic,40 S&W,HMI,101284
Firearm - Semi-Automatic,40 S&W,HMI,101285
Verbal Threat (Assault),,,101286
Other (Specify),,VERBAL THREATS,101290
Hands/Fists,,,101294
Firearm - Semi-Automatic,380 ACP,,101296
Firearm - Semi-Automatic,380 ACP,,101297
Verbal Threat (Assault),,,101298
"Mouth (Spit,Bite,Etc)",,,101299
Verbal Threat (Assault),,,101303
Blunt Instrument,,MOP HANDLE,101309
Verbal Threat (Assault),,,101310
Verbal Threat (Assault),,,101313
Hands/Fists,,,101314
Other (Specify),,HANDCUFFS,101316
Hands/Fists,,,101317
Other (Specify),,HAND CUFFS,101317
Other (Specify),,HANDCUFFS,101317
Hands/Fists,,,101318
"Mouth (Spit,Bite,Etc)",,,101318
Verbal Threat (Assault),,,101318
Hands/Fists,,,101324
Other (Specify),,VEHICLE,101324
Vehicle - Attempted To Strike Officer With Vehicle,,,101324
Other (Specify),,VEHICLE,101325
Vehicle - Attempted To Strike Officer With Vehicle,,,101325
Feet,,,101327
Hands/Fists,,,101332
Knife/Other Cutting Instrument,,,101335
"Mouth (Spit,Bite,Etc)",,,101335
Knife/Other Cutting Instrument,,,101336
Feet,,,101338
Other (Specify),,HEAD,101338
Verbal Threat (Assault),,,101338
Knife/Other Cutting Instrument,,,101340
Knife/Other Cutting Instrument,,,101342
Hands/Fists,,,101344
Verbal Threat (Assault),,,101344
Hands/Fists,,,101346
"Mouth (Spit,Bite,Etc)",,,101346
Other (Specify),,CIGARRETTE,101347
Verbal Threat (Assault),,,101350
Verbal Threat (Assault),,,101351
Feet,,,101352
Hands/Fists,,,101352
"Mouth (Spit,Bite,Etc)",,,101352
Firearm - Semi-Automatic, 9 MM,SPRINGFILED 9MM ,101356
Other (Specify),,"PUSHED, PULLED, WRESTLED",101357
Blunt Instrument,,GLASS LIQUOR BOTTLE,101359
Blunt Instrument,,GLASS LIQUOR BOTTLE,101360
Verbal Threat (Assault),,,101365
Other (Specify),,SWINGING BOTH FIST,101366
Hands/Fists,,,101376
Other (Specify),,WRESTLED,101376
Firearm - Semi-Automatic,40 S&W,,101378
Hands/Fists,,,101386
Other (Specify),,THREATENED TO KILL PO,101386
Verbal Threat (Assault),,,101386
"Mouth (Spit,Bite,Etc)",,,101387
Hands/Fists,,,101395
Other (Specify),,HEADBUTT,101399
Verbal Threat (Assault),,,101399
"Mouth (Spit,Bite,Etc)",,,101410
Verbal Threat (Assault),,,101410
Hands/Fists,,,101414
Verbal Threat (Assault),,,101419
Feet,,,101420
Verbal Threat (Assault),,,101420
Hands/Fists,,,101423
"Mouth (Spit,Bite,Etc)",,,101423
Verbal Threat (Assault),,,101423
Hands/Fists,,,101430
Verbal Threat (Assault),,,101430
Hands/Fists,,,101431
Verbal Threat (Assault),,,101431
Other (Specify),,THRUSTING UPPER BODY IN AN AGGRESSIVE MANNER,101432
Hands/Fists,,,101434
"Mouth (Spit,Bite,Etc)",,,101435
Verbal Threat (Assault),,,101437
Other (Specify),,OPEN HAND STRIKE TO CHEST,101444
Hands/Fists,,,101447
Verbal Threat (Assault),,,101447
Hands/Fists,,,101449
Verbal Threat (Assault),,,101449
Hands/Fists,,,101450
Hands/Fists,,,101451
Firearm - Semi-Automatic, 9 MM,,101452
Hands/Fists,,,101454
Firearm - Semi-Automatic, 9 MM,GLOCK 19,101460
Firearm - Semi-Automatic, 9 MM,GLOCK,101461
"Mouth (Spit,Bite,Etc)",,,101464
Firearm - Revolver, 38 CAL,,101467
Firearm - Semi-Automatic,380 ACP,,101468
Firearm - Semi-Automatic,380 ACP,,101469
Firearm - Semi-Automatic,380 ACP,,101470
Firearm - Semi-Automatic,OTHER,,101480
Firearm - Semi-Automatic,40 S&W,,101481
Firearm - Semi-Automatic,40 S&W,,101482
Firearm - Semi-Automatic,32 CAL,,101490
Firearm - Semi-Automatic,32 CAL,,101491
"Mouth (Spit,Bite,Etc)",,,101492
Hands/Fists,,,101493
Feet,,,101494
Hands/Fists,,,101494
Verbal Threat (Assault),,,101494
Firearm - Semi-Automatic,40 S&W,,101495
"Mouth (Spit,Bite,Etc)",,,101497
Feet,,,101500
Hands/Fists,,,101500
Other (Specify),,KICK TO LEFT LEG,101500
Verbal Threat (Assault),,,101500
Hands/Fists,,,101501
Verbal Threat (Assault),,,101501
Vehicle - Attempted To Strike Officer With Vehicle,,,101506
Other (Specify),,OFFENDER VEHICLE STRUCK OFFICER COVERT VEHICLE,101507
Feet,,,101508
Other (Specify),,ATTEMPT DISARM TASER,101514
Verbal Threat (Assault),,,101514
Hands/Fists,,,101515
Firearm - Semi-Automatic, 9 MM,,101519
Firearm - Semi-Automatic,40 S&W,GLOCK 22,101522
Other (Specify),,MOVED TOWARDS GUN,101528
Verbal Threat (Assault),,,101536
Firearm - Semi-Automatic, 9 MM,RUGER P95,101546
Hands/Fists,,,101550
Verbal Threat (Assault),,,101550
Verbal Threat (Assault),,,101551
Hands/Fists,,,101552
Verbal Threat (Assault),,,101552
"Mouth (Spit,Bite,Etc)",,,101555
Verbal Threat (Assault),,,101555
Knife/Other Cutting Instrument,,STEAK KNIFE,101557
Feet,,,101558
Hands/Fists,,,101558
"Mouth (Spit,Bite,Etc)",,,101558
Hands/Fists,,,101559
"Mouth (Spit,Bite,Etc)",,,101559
Hands/Fists,,,101561
Verbal Threat (Assault),,,101561
Hands/Fists,,,101565
Verbal Threat (Assault),,,101565
Verbal Threat (Assault),,,101566
Other (Specify),,2IN X1IN PEBBLE POND ROCKS ,101568
Other (Specify),,ROCK THROWING AT OFFICER ,101568
"Mouth (Spit,Bite,Etc)",,,101571
Other (Specify),,BITE,101571
Other (Specify),,BLACK BATON,101571
Hands/Fists,,,101575
Firearm - Semi-Automatic,40 S&W,,101579
Firearm - Semi-Automatic,40 S&W,,101580
Firearm - Semi-Automatic,40 S&W,,101581
Knife/Other Cutting Instrument,,8 INCH KITCHEN KNIFE,101582
Feet,,,101584
"Mouth (Spit,Bite,Etc)",,,101584
Blunt Instrument,,,101596
Hands/Fists,,,101598
Other (Specify),,CHARGING WITH BODY,101598
Feet,,,101599
Hands/Fists,,,101599
Hands/Fists,,,101600
"Mouth (Spit,Bite,Etc)",,,101617
Feet,,,101618
Hands/Fists,,,101618
"Mouth (Spit,Bite,Etc)",,,101618
Feet,,,101619
Hands/Fists,,,101619
"Mouth (Spit,Bite,Etc)",,,101619
Verbal Threat (Assault),,,101619
Feet,,,101620
Hands/Fists,,,101620
"Mouth (Spit,Bite,Etc)",,,101620
Verbal Threat (Assault),,,101620
Hands/Fists,,,101624
"Mouth (Spit,Bite,Etc)",,,101624
Hands/Fists,,,101625
Verbal Threat (Assault),,,101632
Feet,,,101633
Verbal Threat (Assault),,,101637
Verbal Threat (Assault),,,101638
Hands/Fists,,,101639
"Mouth (Spit,Bite,Etc)",,,101640
Other (Specify),,HEAD,101640
Verbal Threat (Assault),,,101640
Feet,,,101649
Verbal Threat (Assault),,,101649
Feet,,,101650
Verbal Threat (Assault),,,101650
Hands/Fists,,,101658
Hands/Fists,,,101666
Other (Specify),,HEAD BUTT,101668
Feet,,,101669
Hands/Fists,,,101669
Verbal Threat (Assault),,,101669
Feet,,,101672
Hands/Fists,,,101672
Verbal Threat (Assault),,,101672
Feet,,,101675
Other (Specify),,ATTEMPTED TO KICK THE R/O,101675
Verbal Threat (Assault),,,101675
Hands/Fists,,,101678
Hands/Fists,,,101683
Other (Specify),,PERCIEVED WEAPON,101689
Feet,,,101692
Verbal Threat (Assault),,,101693
Verbal Threat (Assault),,,101694
Hands/Fists,,,101698
Firearm - Revolver, 38 CAL,,101701
Firearm - Revolver, 38 CAL,,101702
Verbal Threat (Assault),,,101705
"Mouth (Spit,Bite,Etc)",,,101718
"Mouth (Spit,Bite,Etc)",,,101719
Hands/Fists,,,101721
Other (Specify),,HEAD-BUTT,101724
"Mouth (Spit,Bite,Etc)",,,101727
Other (Specify),,SUBJECT TRIED TO SPIT ON R/SGT,101727
Verbal Threat (Assault),,,101727
Firearm - Semi-Automatic, 9 MM,,101733
Hands/Fists,,,101733
Feet,,,101742
Hands/Fists,,,101743
Verbal Threat (Assault),,,101743
Hands/Fists,,,101744
Other (Specify),,OFFENDER GRABBED AND PUSHED OFFICER,101746
Hands/Fists,,,101750
Feet,,,101751
Hands/Fists,,,101751
Other (Specify),,VEHICLE,101755
Vehicle - Attempted To Strike Officer With Vehicle,,,101755
Hands/Fists,,,101765
Firearm - Semi-Automatic, 9 MM,,101766
Hands/Fists,,,101766
Firearm - Semi-Automatic,40 S&W,,101767
Hands/Fists,,,101770
Firearm - Semi-Automatic, 9 MM,,101772
Firearm - Semi-Automatic, 9 MM,,101773
Feet,,,101775
Hands/Fists,,,101775
"Mouth (Spit,Bite,Etc)",,,101775
Verbal Threat (Assault),,,101775
Hands/Fists,,,101777
Firearm - Semi-Automatic,45 CAL,GLOCK 36,101782
Firearm - Semi-Automatic,45 CAL,,101783
Firearm - Semi-Automatic,45 CAL,,101784
Hands/Fists,,,101784
Hands/Fists,,,101786
Hands/Fists,,,101787
Verbal Threat (Assault),,,101791
Hands/Fists,,,101792
Hands/Fists,,,101795
"Mouth (Spit,Bite,Etc)",,,101795
Verbal Threat (Assault),,,101795
Hands/Fists,,,101800
Verbal Threat (Assault),,,101822
Verbal Threat (Assault),,,101823
Verbal Threat (Assault),,,101824
Hands/Fists,,,101826
Verbal Threat (Assault),,,101826
Verbal Threat (Assault),,,101827
Feet,,,101845
Hands/Fists,,,101845
Verbal Threat (Assault),,,101847
Other (Specify),,BALLED UP FIST,101854
Verbal Threat (Assault),,,101854
Verbal Threat (Assault),,,101856
Firearm - Semi-Automatic, 9 MM,,101857
Firearm - Semi-Automatic, 9 MM,,101858
Firearm - Semi-Automatic,380 ACP,,101859
Firearm - Semi-Automatic,380 ACP,,101860
Verbal Threat (Assault),,,101864
Verbal Threat (Assault),,,101866
Other (Specify),,LUNGED AT R/O,101873
Verbal Threat (Assault),,,101877
Verbal Threat (Assault),,,101878
Feet,,,101879
"Mouth (Spit,Bite,Etc)",,,101879
Hands/Fists,,,101881
Verbal Threat (Assault),,,101881
Hands/Fists,,,101882
Hands/Fists,,,101896
Verbal Threat (Assault),,,101897
Verbal Threat (Assault),,,101898
Firearm - Semi-Automatic, 9 MM,,101905
Other (Specify),,ELBOW,101907
Feet,,,101908
Hands/Fists,,,101908
Other (Specify),,HEAD BUTT,101908
Feet,,,101909
Hands/Fists,,,101909
Other (Specify),,HEAD,101909
Firearm - Semi-Automatic,40 S&W,,101910
Feet,,,101911
Hands/Fists,,,101911
Other (Specify),,HEAD BUTT,101911
Firearm - Semi-Automatic,40 S&W,,101915
Other (Specify),,FIREARM,101915
Verbal Threat (Assault),,,101916
Verbal Threat (Assault),,,101917
Vehicle - Officer Struck With Vehicle,,,101920
Firearm - Semi-Automatic,40 S&W,,101921
Other (Specify),,FIREARM,101922
Hands/Fists,,,101925
"Mouth (Spit,Bite,Etc)",,,101932
Feet,,,101935
Other (Specify),,LUNGED TOWARDS,101946
Firearm - Revolver,22 LR,TAURUS,101948
Hands/Fists,,,101950
Verbal Threat (Assault),,,101955
Hands/Fists,,,101956
Hands/Fists,,,101958
Feet,,,101959
Feet,,,101960
Feet,,,101961
Verbal Threat (Assault),,,101961
Firearm - Semi-Automatic, 9 MM,,101963
Hands/Fists,,,101986
Other (Specify),,PUSHED P.O. SALGADO,101986
Verbal Threat (Assault),,,101986
Hands/Fists,,,101987
Feet,,,101988
Hands/Fists,,,101988
"Mouth (Spit,Bite,Etc)",,,101988
Verbal Threat (Assault),,,101988
Feet,,,101989
Hands/Fists,,,101989
Verbal Threat (Assault),,,101989
Verbal Threat (Assault),,,101991
Verbal Threat (Assault),,,101992
Feet,,,102007
Hands/Fists,,,102007
Verbal Threat (Assault),,,102007
Feet,,,102008
Hands/Fists,,,102008
Verbal Threat (Assault),,,102008
Hands/Fists,,,102018
Feet,,,102021
Hands/Fists,,,102021
Hands/Fists,,,102037
Hands/Fists,,,102040
Feet,,,102042
Hands/Fists,,,102042
Other (Specify),,HANDS/FISTS,102042
Other (Specify),,JUMPED ON OFFICER TO THE GROUND,102052
Verbal Threat (Assault),,,102052
Firearm - Semi-Automatic,40 S&W,,102055
Feet,,,102058
Verbal Threat (Assault),,,102059
Verbal Threat (Assault),,,102060
Verbal Threat (Assault),,,102061
"Mouth (Spit,Bite,Etc)",,,102063
Verbal Threat (Assault),,,102064
"Mouth (Spit,Bite,Etc)",,,102077
Verbal Threat (Assault),,,102077
"Mouth (Spit,Bite,Etc)",,,102078
Verbal Threat (Assault),,,102078
Knife/Other Cutting Instrument,,,102079
Hands/Fists,,,102083
Hands/Fists,,,102088
Knife/Other Cutting Instrument,,,102090
Firearm - Semi-Automatic,40 S&W,,102092
Hands/Fists,,,102092
"Mouth (Spit,Bite,Etc)",,,102099
Hands/Fists,,,102103
Verbal Threat (Assault),,,102103
Other (Specify),,ARRMED W KNIFE,102104
Other (Specify),,BRANDISHING KNIFE ,102105
Knife/Other Cutting Instrument,,,102106
Other (Specify),,ARMED WITH KNIFE,102106
Knife/Other Cutting Instrument,,,102107
Firearm - Revolver, 38 CAL,,102108
Other (Specify),,ATTEMPTED TO DISARM R/O OF ASP,102118
Other (Specify),,BODY BLOCK/CHARGE,102120
Feet,,,102121
Hands/Fists,,,102121
"Mouth (Spit,Bite,Etc)",,,102122
Hands/Fists,,,102125
Firearm - Semi-Automatic,40 S&W,,102142
Firearm - Semi-Automatic, 9 MM,,102156
Other (Specify),,PUSHED AWAY WHILE ARMED,102156
Firearm - Semi-Automatic,380 ACP,,102157
Hands/Fists,,,102158
"Mouth (Spit,Bite,Etc)",,,102158
Verbal Threat (Assault),,,102158
"Mouth (Spit,Bite,Etc)",,,102160
Verbal Threat (Assault),,,102160
Verbal Threat (Assault),,,102161
Feet,,,102162
"Mouth (Spit,Bite,Etc)",,,102162
Feet,,,102163
"Mouth (Spit,Bite,Etc)",,,102163
Feet,,,102164
"Mouth (Spit,Bite,Etc)",,,102164
Feet,,,102165
Hands/Fists,,,102165
"Mouth (Spit,Bite,Etc)",,,102165
Verbal Threat (Assault),,,102165
Feet,,,102166
Hands/Fists,,,102166
"Mouth (Spit,Bite,Etc)",,,102166
Verbal Threat (Assault),,,102166
Other (Specify),,CLINCHED FIST APPROACHING A/O,102170
Verbal Threat (Assault),,,102170
Other (Specify),,CLENCHED FISTS,102171
Verbal Threat (Assault),,,102171
Other (Specify),,METAL BROOM HANDEL,102173
Hands/Fists,,,102178
Other (Specify),,SQUARED UP WITH NOT SHOWING HANDS,102178
Hands/Fists,,,102182
Hands/Fists,,,102183
Hands/Fists,,,102185
Verbal Threat (Assault),,,102185
Hands/Fists,,,102193
Verbal Threat (Assault),,,102193
Verbal Threat (Assault),,,102195
Other (Specify),,KNEE IN GROIN,102197
Firearm - Semi-Automatic,40 S&W,,102205
Feet,,,102206
"Mouth (Spit,Bite,Etc)",,,102212
Other (Specify),,ATTEMPT KICKS FLAILED ARMS,102212
Hands/Fists,,,102213
Feet,,,102215
Hands/Fists,,,102215
Hands/Fists,,,102216
"Mouth (Spit,Bite,Etc)",,,102216
Feet,,,102217
Knife/Other Cutting Instrument,,KNIFE,102229
Knife/Other Cutting Instrument,,,102230
Hands/Fists,,,102236
Hands/Fists,,,102238
Other (Specify),,CLENCHED FISTS,102238
Verbal Threat (Assault),,,102238
"Mouth (Spit,Bite,Etc)",,,102248
Verbal Threat (Assault),,,102249
Verbal Threat (Assault),,,102250
Feet,,,102252
Hands/Fists,,,102252
Feet,,,102253
Hands/Fists,,,102253
Feet,,,102254
Hands/Fists,,,102255
Other (Specify),,SEE NARRATIVE,102259
"Mouth (Spit,Bite,Etc)",,,102270
Knife/Other Cutting Instrument,,,102272
"Mouth (Spit,Bite,Etc)",,,102273
Other (Specify),,"HEADBUTTS, KNEE TO GROIN",102273
Verbal Threat (Assault),,,102273
Hands/Fists,,,102274
Verbal Threat (Assault),,,102274
Knife/Other Cutting Instrument,,10 INCH KNIFE HONE,102276
Verbal Threat (Assault),,,102276
Other (Specify),,THREATEN WITH KNIFE HONE,102280
Verbal Threat (Assault),,,102280
Hands/Fists,,,102281
Verbal Threat (Assault),,,102282
Feet,,,102283
Hands/Fists,,,102283
Other (Specify),,VERBAL THREATS,102283
Hands/Fists,,,102285
Verbal Threat (Assault),,,102285
Verbal Threat (Assault),,,102286
Verbal Threat (Assault),,,102287
Feet,,,102289
Verbal Threat (Assault),,,102289
Other (Specify),,PUSHED OFF VEHICLE ,102290
Verbal Threat (Assault),,,102292
Feet,,,102310
Hands/Fists,,,102310
"Mouth (Spit,Bite,Etc)",,,102318
Other (Specify),,"PUSHED CHEST INTO PO, KICKED PO",102325
Firearm - Semi-Automatic, 9 MM,,102327
Hands/Fists,,,102327
"Mouth (Spit,Bite,Etc)",,,102330
Other (Specify),,SPIT ON OFFICER,102330
Feet,,,102331
Hands/Fists,,,102333
Hands/Fists,,,102339
"Mouth (Spit,Bite,Etc)",,,102345
Verbal Threat (Assault),,,102349
Verbal Threat (Assault),,,102350
Verbal Threat (Assault),,,102351
Feet,,,102355
Hands/Fists,,,102358
Other (Specify),,BUMPED INTO A/O,102376
Feet,,,102379
Hands/Fists,,,102381
Hands/Fists,,,102384
Other (Specify),,PULLED AWAY FLAILED ARMS,102384
Hands/Fists,,,102385
"Mouth (Spit,Bite,Etc)",,,102386
Hands/Fists,,,102387
Other (Specify),,METAL POLE,102390
Other (Specify),,METAL POLE ,102391
Other (Specify),,METAL POLE,102392
Hands/Fists,,,102395
Hands/Fists,,,102396
Verbal Threat (Assault),,,102396
Hands/Fists,,,102399
Hands/Fists,,,102402
Feet,,,102404
Hands/Fists,,,102404
Other (Specify),,PUSHED A/O'S,102405
Firearm - Rifle,22 LR,,102412
Hands/Fists,,,102415
Verbal Threat (Assault),,,102415
Hands/Fists,,,102416
Hands/Fists,,,102418
Other (Specify),,SUBJECT ATTEMPT TO DEFEAT ARREST,102420
Hands/Fists,,,102421
Other (Specify),,"ARMS UP, CLENCHED FIST, SIMILAR FIGHT STANCE ",102421
Feet,,,102424
Hands/Fists,,,102424
Hands/Fists,,,102434
"Mouth (Spit,Bite,Etc)",,,102434
Knife/Other Cutting Instrument,,,102441
Knife/Other Cutting Instrument,,,102443
Hands/Fists,,,102452
Verbal Threat (Assault),,,102452
Verbal Threat (Assault),,,102454
Firearm - Semi-Automatic,40 S&W,SMITH & WESSON SHIELD SERIAL #LER2367,102455
Firearm - Semi-Automatic,40 S&W,SMITH & WESSON SHIELD SERIAL#LER2367,102456
Firearm - Semi-Automatic,45 CAL,,102457
Firearm - Revolver, 38 CAL,,102459
"Mouth (Spit,Bite,Etc)",,,102462
Firearm - Semi-Automatic, 9 MM,,102470
Verbal Threat (Assault),,,102481
Verbal Threat (Assault),,,102484
Other (Specify),,SHOULDER,102487
Feet,,,102488
Hands/Fists,,,102488
Verbal Threat (Assault),,,102488
Other (Specify),,KNIFE,102494
Other (Specify),,PEPPER SPRAY,102495
Feet,,,102498
Feet,,,102499
Hands/Fists,,,102502
Hands/Fists,,,102505
Firearm - Semi-Automatic,45 CAL,,102506
Firearm - Semi-Automatic,45 CAL,,102507
Verbal Threat (Assault),,,102508
Hands/Fists,,,102509
Hands/Fists,,,102514
"Mouth (Spit,Bite,Etc)",,,102515
Hands/Fists,,,102517
Other (Specify),,LUNGED AT OFFICER'S NECK WITH BOTH ARMS,102517
Verbal Threat (Assault),,,102517
Feet,,,102518
Hands/Fists,,,102518
"Mouth (Spit,Bite,Etc)",,,102518
Other (Specify),,HEAD,102527
Firearm - Semi-Automatic,22 LR,,102528
Hands/Fists,,,102533
Verbal Threat (Assault),,,102533
Hands/Fists,,,102534
Verbal Threat (Assault),,,102534
Feet,,,102536
Feet,,,102537
"Mouth (Spit,Bite,Etc)",,,102541
"Mouth (Spit,Bite,Etc)",,,102542
Other (Specify),,SPAT IN P.O.'S FACE,102542
Hands/Fists,,,102544
Firearm - Semi-Automatic, 9 MM,,102552
"Mouth (Spit,Bite,Etc)",,,102556
Hands/Fists,,,102557
Vehicle - Attempted To Strike Officer With Vehicle,,,102559
"Mouth (Spit,Bite,Etc)",,,102560
"Mouth (Spit,Bite,Etc)",,,102561
Verbal Threat (Assault),,,102561
Other (Specify),,"RESISTING, PULLED AWAY, ATTEMPTED TO BITE OFFICERS ON SCENE",102562
Hands/Fists,,,102563
"Mouth (Spit,Bite,Etc)",,,102563
Verbal Threat (Assault),,,102563
Verbal Threat (Assault),,,102564
Verbal Threat (Assault),,,102566
Verbal Threat (Assault),,,102573
Hands/Fists,,,102574
Other (Specify),,"PULLED,DRAGGED,THROWN DOWN STAIRS",102574
Verbal Threat (Assault),,,102574
Hands/Fists,,,102587
Verbal Threat (Assault),,,102588
Hands/Fists,,,102596
Verbal Threat (Assault),,,102596
Verbal Threat (Assault),,,102600
Other (Specify),,EMPTY GLASS BOTTLE,102605
Other (Specify),,ELBOW STRIKE,102616
Other (Specify),,ARMS,102617
Hands/Fists,,,102619
"Mouth (Spit,Bite,Etc)",,,102619
Hands/Fists,,,102620
"Mouth (Spit,Bite,Etc)",,,102620
"Mouth (Spit,Bite,Etc)",,,102621
Firearm - Revolver, 38 CAL,,102627
Other (Specify),,BICYCLE,102637
Feet,,,102638
"Mouth (Spit,Bite,Etc)",,,102638
Verbal Threat (Assault),,,102638
"Mouth (Spit,Bite,Etc)",,,102641
Feet,,,102645
Hands/Fists,,,102645
Verbal Threat (Assault),,,102645
Feet,,,102646
Hands/Fists,,,102646
Verbal Threat (Assault),,,102646
Feet,,,102651
Verbal Threat (Assault),,,102652
Hands/Fists,,,102661
Verbal Threat (Assault),,,102661
Hands/Fists,,,102664
Verbal Threat (Assault),,,102664
Feet,,,102667
Hands/Fists,,,102667
Feet,,,102668
Feet,,,102669
Firearm - Semi-Automatic,25 ACP,,102669
Firearm - Revolver, 38 CAL,,102670
Firearm - Revolver, 38 CAL,,102671
Other (Specify),,GLASS BOTTLE,102673
Hands/Fists,,,102674
Verbal Threat (Assault),,,102674
Verbal Threat (Assault),,,102675
Hands/Fists,,,102676
"Mouth (Spit,Bite,Etc)",,,102677
Other (Specify),,SPITTING,102677
Hands/Fists,,,102679
Verbal Threat (Assault),,,102683
Verbal Threat (Assault),,,102684
Verbal Threat (Assault),,,102685
Hands/Fists,,,102690
Other (Specify),,CHAIN ,102690
Verbal Threat (Assault),,,102690
Hands/Fists,,,102692
"Mouth (Spit,Bite,Etc)",,,102692
Hands/Fists,,,102694
Firearm - Revolver, 38 CAL,,102695
Hands/Fists,,,102696
Other (Specify),,GARBAGE CAN ,102701
Verbal Threat (Assault),,,102701
Other (Specify),,GARBAGE CAN,102702
Verbal Threat (Assault),,,102716
Hands/Fists,,,102717
Verbal Threat (Assault),,,102717
Other (Specify),,VEHICLE,102718
Vehicle - Attempted To Strike Officer With Vehicle,,,102718
Vehicle - Attempted To Strike Officer With Vehicle,,,102719
Feet,,,102720
Verbal Threat (Assault),,,102723
Firearm - Revolver,22 LR,,102728
Feet,,,102733
Verbal Threat (Assault),,,102738
"Mouth (Spit,Bite,Etc)",,,102739
Firearm - Semi-Automatic, 9 MM,,102741
Firearm - Semi-Automatic, 9 MM,,102742
Feet,,,102744
"Mouth (Spit,Bite,Etc)",,,102744
"Mouth (Spit,Bite,Etc)",,,102745
Verbal Threat (Assault),,,102745
Feet,,,102748
Hands/Fists,,,102748
Other (Specify),,CHARGING,102748
Hands/Fists,,,102754
Hands/Fists,,,102755
Hands/Fists,,,102756
Hands/Fists,,,102765
Other (Specify),,THROWN OBJECT,102767
Hands/Fists,,,102769
Verbal Threat (Assault),,,102769
"Mouth (Spit,Bite,Etc)",,,102772
Other (Specify),,SPIT,102773
"Mouth (Spit,Bite,Etc)",,,102774
Verbal Threat (Assault),,,102784
Firearm - Semi-Automatic, 9 MM,,102788
Firearm - Semi-Automatic, 9 MM,,102789
Other (Specify),,HARM TO HERSELF,102792
Verbal Threat (Assault),,,102792
Feet,,,102793
Other (Specify),,SWINGING ARMS,102793
Verbal Threat (Assault),,,102793
Other (Specify),,SWINGING ARMS,102796
Verbal Threat (Assault),,,102796
Verbal Threat (Assault),,,102799
Hands/Fists,,,102805
Knife/Other Cutting Instrument,,,102809
Knife/Other Cutting Instrument,,,102810
Feet,,,102815
Firearm - Semi-Automatic,380 ACP,"JENNINGS FIREARMS, MODEL 48",102816
Firearm - Semi-Automatic,380 ACP,JENNINGS FIREARMS MODEL 48,102817
Feet,,,102820
Feet,,,102821
Hands/Fists,,,102821
Verbal Threat (Assault),,,102821
Blunt Instrument,,ROCKS,102822
Feet,,,102822
Hands/Fists,,,102822
Verbal Threat (Assault),,,102822
Hands/Fists,,,102824
Hands/Fists,,,102826
Hands/Fists,,,102827
Verbal Threat (Assault),,,102827
Hands/Fists,,,102830
Other (Specify),,CANINE,102831
Other (Specify),,CANINE,102832
"Mouth (Spit,Bite,Etc)",,,102838
Feet,,,102839
"Mouth (Spit,Bite,Etc)",,,102839
Feet,,,102841
"Mouth (Spit,Bite,Etc)",,,102841
Hands/Fists,,,102844
Verbal Threat (Assault),,,102844
